,sid,gid,order,variable,value
538,32010050501,261,32,self_x,790
539,32010050501,141,33,self_x,720
540,32010050501,161,34,self_x,620
541,32010050501,211,35,self_x,600
542,32010050501,231,36,self_x,670
543,32010050501,221,37,self_x,620
544,32010050501,151,38,self_x,700
545,32010050501,191,39,self_x,680
546,32010050502,391,1,self_x,1060
547,32010050502,21,2,self_x,430
548,32010050502,321,3,self_x,950
549,32010050502,41,4,self_x,370
550,32010050502,61,5,self_x,410
551,32010050502,111,6,self_x,470
552,32010050502,361,7,self_x,940
553,32010050502,131,8,self_x,520
554,32010050502,311,9,self_x,930
555,32010050502,271,10,self_x,990
556,32010050502,281,11,self_x,970
557,32010050502,291,12,self_x,890
558,32010050502,91,13,self_x,350
559,32010050502,381,14,self_x,1050
560,32010050502,121,15,self_x,510
561,32010050502,101,16,self_x,400
562,32010050502,81,17,self_x,330
563,32010050502,301,18,self_x,910
564,32010050502,331,19,self_x,960
565,32010050502,51,20,self_x,390
566,32010050502,371,21,self_x,1010
567,32010050502,31,22,self_x,350
568,32010050502,341,23,self_x,870
569,32010050502,11,24,self_x,450
570,32010050502,351,25,self_x,890
571,32010050502,71,26,self_x,420
572,32010050502,151,27,self_x,700
573,32010050502,211,28,self_x,600
574,32010050502,231,29,self_x,670
575,32010050502,171,30,self_x,640
576,32010050502,261,31,self_x,790
577,32010050502,161,32,self_x,620
578,32010050502,181,33,self_x,660
579,32010050502,221,34,self_x,620
580,32010050502,141,35,self_x,720
581,32010050502,191,36,self_x,680
582,32010050502,201,37,self_x,690
583,32010050502,241,38,self_x,740
584,32010050502,251,39,self_x,780
585,32010050603,61,1,self_x,410
586,32010050603,101,2,self_x,400
587,32010050603,121,3,self_x,510
588,32010050603,281,4,self_x,970
589,32010050603,11,5,self_x,450
590,32010050603,31,6,self_x,350
591,32010050603,131,7,self_x,520
592,32010050603,371,8,self_x,1010
593,32010050603,21,9,self_x,430
594,32010050603,301,10,self_x,910
595,32010050603,291,11,self_x,890
596,32010050603,71,12,self_x,420
597,32010050603,41,13,self_x,370
598,32010050603,331,14,self_x,960
599,32010050603,361,15,self_x,940
600,32010050603,341,16,self_x,870
601,32010050603,311,17,self_x,930
602,32010050603,381,18,self_x,1050
603,32010050603,321,19,self_x,950
604,32010050603,81,20,self_x,330
605,32010050603,111,21,self_x,470
606,32010050603,91,22,self_x,350
607,32010050603,351,23,self_x,890
608,32010050603,51,24,self_x,390
609,32010050603,271,25,self_x,990
610,32010050603,391,26,self_x,1060
611,32010050603,181,27,self_x,660
612,32010050603,211,28,self_x,600
613,32010050603,151,29,self_x,700
614,32010050603,141,30,self_x,720
615,32010050603,221,31,self_x,620
616,32010050603,161,32,self_x,620
617,32010050603,251,33,self_x,780
618,32010050603,171,34,self_x,640
619,32010050603,261,35,self_x,790
620,32010050603,241,36,self_x,740
621,32010050603,201,37,self_x,690
622,32010050603,191,38,self_x,680
623,32010050603,231,39,self_x,670
624,32010050704,131,1,self_x,520
625,32010050704,311,2,self_x,930
626,32010050704,291,3,self_x,890
627,32010050704,271,4,self_x,990
628,32010050704,111,5,self_x,470
629,32010050704,101,6,self_x,400
630,32010050704,341,7,self_x,870
631,32010050704,31,8,self_x,350
632,32010050704,351,9,self_x,890
633,32010050704,361,10,self_x,940
634,32010050704,391,11,self_x,1060
635,32010050704,11,12,self_x,450
636,32010050704,81,13,self_x,330
637,32010050704,21,14,self_x,430
638,32010050704,121,15,self_x,510
639,32010050704,371,16,self_x,1010
640,32010050704,41,17,self_x,370
641,32010050704,71,18,self_x,420
