sid,gid,order,self_x,self_y,other_x,other_y,choice_x,s_y,s_x,r_y,r_x,bf_consciousness,bf_openness,bf_extraversion,bf_agreeableness,bf_neuroticism,cogabil,pe_D1_stud_natsci,pe_D1_stud_law,pe_D1_stud_socsci,pe_D1_stud_med,pe_monthinc,pe_age,pe_female,_merge,missing_data
12010050502,261,37,790,410,600,600,1,1,0,0,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,191,38,680,520,780,420,1,0,1,1,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,251,39,780,420,540,660,1,1,0,0,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050603,11,1,450,210,1020,720,1,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,91,2,350,310,680,1060,1,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,21,3,430,230,1030,710,1,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,331,4,960,780,500,160,0,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,31,5,350,310,1060,680,0,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,61,6,410,250,1050,690,0,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,81,7,330,330,680,1060,1,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,321,8,950,790,510,150,0,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,311,9,930,810,510,150,0,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,351,10,890,850,140,520,1,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,51,11,390,270,1050,690,1,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,341,12,870,870,140,520,1,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,121,13,510,150,810,930,0,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,41,14,370,290,1060,680,0,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,131,15,520,140,870,870,1,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,111,16,470,190,730,1010,1,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,371,17,1010,730,190,470,0,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,381,18,1050,690,270,390,0,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,281,19,970,770,490,170,1,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,101,20,400,260,690,1050,1,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,291,21,890,850,520,140,0,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,391,22,1060,680,330,330,1,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,271,23,990,750,480,180,1,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,71,24,420,240,1040,700,1,1,1,0,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
